index,gene_symbol-0,n_cells-0,n_cells-1,means,dispersions,dispersions_norm
MITD1,MITD1,2379,231,0.10547263,0.38411492,0.28241056
TXNDC9,TXNDC9,2497,205,0.10107168,0.2924537,0.008424369
EIF5B,EIF5B,3759,394,0.17568956,0.5961401,0.9161788
AFF3,AFF3,75,68,0.0062299236,0.2697304,-0.05949831
PDCL3,PDCL3,3087,333,0.13626708,0.35551563,0.19692391
RNF149,RNF149,4629,384,0.19473392,0.28865856,-0.0029197733
IL1R2,IL1R2,574,5,0.03806443,1.3103158,3.0509343
IL18R1,IL18R1,266,38,0.0125135165,0.29518276,0.016581846
IL18RAP,IL18RAP,255,38,0.010251946,0.34939882,0.17864004
MFSD9,MFSD9,147,18,0.0063932794,0.23764908,-0.15539312
TMEM182,TMEM182,36,15,0.0019753717,0.26960403,-0.05987602
MRPS9,MRPS9,1071,174,0.048318345,0.21492872,-0.22330698
TGFBRAP1,TGFBRAP1,69,25,0.0048155603,1.5219774,3.6836157
RP11-332H14.2,RP11-332H14.2,404,30,0.017069982,0.32427403,0.10353909
C2orf49,C2orf49,965,82,0.040992245,0.43937185,0.44758007
C2orf40,C2orf40,74,17,0.0036454953,0.2672808,-0.06682046
UXS1,UXS1,1628,214,0.07046336,0.46957433,0.53785884
GCC2,GCC2,4588,311,0.19573958,0.49119547,0.60248697
LIMS1,LIMS1,6661,420,0.3548847,0.53836435,-0.009090829
RANBP2,RANBP2,475,80,0.022389196,0.24169888,-0.14328781
CCDC138,CCDC138,73,14,0.0029559727,0.22163007,-0.20327586
NPHP1,NPHP1,57,3,0.0024104926,0.4659431,0.52700466
LINC00116,LINC00116,1148,240,0.05477724,0.22490153,-0.19349708
BCL2L11,BCL2L11,274,57,0.013018789,0.24564366,-0.13149638
MIR4435-1HG,MIR4435-1HG,596,172,0.031150341,0.28387767,-0.017210415
RP11-803D5.4,RP11-803D5.4,21,3,0.0007464915,0.35689098,0.20103498
TMEM87B,TMEM87B,347,44,0.01713685,1.3689797,3.2262876
FBLN7,FBLN7,636,40,0.024887549,0.5157676,0.6759359
ZC3H8,ZC3H8,810,101,0.03735111,0.40017158,0.3304058
ZC3H6,ZC3H6,535,111,0.024068732,0.2604972,-0.08709736
CHCHD5,CHCHD5,1435,395,0.07216551,0.23185734,-0.17270531
AC079922.3,AC079922.3,103,31,0.0048591467,0.2608154,-0.08614623
SLC20A1,SLC20A1,837,163,0.03981169,0.24300936,-0.13937062
IL1B,IL1B,1904,211,0.24852727,2.1584404,4.4410133
IL1RN,IL1RN,3977,55,0.48907578,1.7982585,1.5007586
RABL2A,RABL2A,191,39,0.008205376,0.2415195,-0.143824
RP11-141B14.1,RP11-141B14.1,90,5,0.004856844,1.7081857,4.2402143
DDX18,DDX18,4929,469,0.21618514,0.37184957,0.24574797
INSIG2,INSIG2,1061,101,0.044900596,0.3328796,0.12926215
C2orf76,C2orf76,341,40,0.015073523,0.88750386,1.7870996
TMEM177,TMEM177,201,20,0.00974698,1.2187831,2.7773325
PTPN4,PTPN4,978,216,0.045373425,0.5446864,0.7623776
NIFK-AS1,NIFK-AS1,691,105,0.030200707,0.28532022,-0.012898456
NIFK,NIFK,2377,250,0.11194415,0.42454034,0.4032469
TSN,TSN,1922,238,0.08338498,0.23220189,-0.17167543
GYPC,GYPC,2606,784,0.1408785,0.52794963,0.7123495
BIN1,BIN1,2902,667,0.14391784,0.36969528,0.23930855
MAP3K2,MAP3K2,627,67,0.027368683,0.39560863,0.31676662
IWS1,IWS1,864,109,0.03695352,0.24338289,-0.1382541
WDR33,WDR33,2513,311,0.112284474,0.39389837,0.31165445
POLR2D,POLR2D,585,86,0.027616108,0.2909545,0.0039430656
AMMECR1L,AMMECR1L,110,17,0.0049239434,0.23167638,-0.17324622
MZT2B,MZT2B,3590,1016,0.18803842,0.3936725,0.31097928
CCDC115,CCDC115,2050,434,0.099168696,0.83734214,1.6371603
IMP4,IMP4,2168,315,0.10601922,0.44430262,0.4623187
ARHGEF4,ARHGEF4,5,4,0.00075589877,1.4868666,3.5786657
FAM168B,FAM168B,375,54,0.018119788,0.70424795,1.239326
PLEKHB2,PLEKHB2,2911,159,0.12011808,0.26131737,-0.08464581
MZT2A,MZT2A,2908,705,0.14396487,0.45455098,0.49295226
RAB3GAP1,RAB3GAP1,938,90,0.039529696,0.21348748,-0.22761501
ZRANB3,ZRANB3,94,16,0.004828363,0.62530375,1.0033524
R3HDM1,R3HDM1,379,74,0.018845452,1.0911434,2.395802
UBXN4,UBXN4,6466,530,0.2750101,1.0040776,1.270153
MCM6,MCM6,615,31,0.026497759,0.39603946,0.3180544
DARS,DARS,1911,339,0.09271023,0.32571787,0.10785487
AC093391.2,AC093391.2,108,7,0.0048185503,0.6303485,1.0184318
CXCR4,CXCR4,18173,1616,1.1276076,1.3733901,0.1973388
KYNU,KYNU,7097,134,0.480645,0.7755769,-0.07447951
ARHGAP15,ARHGAP15,2102,744,0.12064848,0.3779331,0.2639324
GTDC1,GTDC1,157,43,0.007943662,0.295721,0.01819068
ORC4,ORC4,761,143,0.034764163,0.21492457,-0.22331937
MBD5,MBD5,110,40,0.0061008907,0.25839826,-0.09337137
MMADHC,MMADHC,4218,357,0.18092915,1.2189403,2.777802
RBM43,RBM43,382,53,0.017788248,0.3318507,0.12618665
RIF1,RIF1,1235,68,0.048202697,0.35375273,0.1916544
ARL5A,ARL5A,3490,546,0.15459034,0.29060036,0.0028844965
PRPF40A,PRPF40A,4335,350,0.1829444,0.2504549,-0.11711501
ARL6IP6,ARL6IP6,2648,232,0.10897726,0.3044936,0.044413052
NR4A2,NR4A2,806,540,0.072297305,0.8784604,1.7600676
ERMN,ERMN,17,4,0.00075803424,0.32190096,0.0964457
CYTIP,CYTIP,12752,915,0.6131502,0.7160599,-0.1661536
ACVR1C,ACVR1C,30,12,0.0017216954,0.29649428,0.020502107
AC009961.3,AC009961.3,48,7,0.0022854158,0.40329856,0.33975273
MARCH7,MARCH7,2262,275,0.09934247,0.3255582,0.10737757
LY75,LY75,103,32,0.006147081,0.50561386,0.64558524
RBMS1,RBMS1,2641,352,0.11831343,0.33788547,0.14422527
TANK,TANK,4227,312,0.17965212,0.24762875,-0.12556273
AC009299.3,AC009299.3,62,9,0.0024538,0.24577494,-0.13110398
PSMD14,PSMD14,2448,277,0.11324692,0.7453627,1.3622228
SLC4A10,SLC4A10,22,32,0.0025078924,0.22191857,-0.20241348
DPP4,DPP4,384,82,0.019874843,0.33941057,0.148784
GCA,GCA,2667,350,0.11957031,0.34668365,0.17052408
GALNT3,GALNT3,274,19,0.01098192,0.29884666,0.027533669
DHRS9,DHRS9,1070,12,0.048672058,0.3314211,0.12490253
FASTKD1,FASTKD1,175,27,0.0072064823,0.29263502,0.008966348
PPIG,PPIG,4625,457,0.20442808,0.7294364,1.3146173
PHOSPHO2,PHOSPHO2,125,12,0.005715755,0.33288097,0.12926625
KLHL23,KLHL23,31,4,0.0010671535,0.21645927,-0.21873197
SSB,SSB,8104,625,0.42447668,0.5328866,-0.024137316
METTL5,METTL5,2255,323,0.10453495,0.34433663,0.16350855
GORASP2,GORASP2,1763,213,0.07632902,0.24470545,-0.1343008
TLK1,TLK1,1335,62,0.054921135,0.4700287,0.539217
METTL8,METTL8,292,56,0.014568903,0.45734558,0.50130564
DCAF17,DCAF17,142,31,0.007241068,0.45742142,0.5015324
SLC25A12,SLC25A12,185,37,0.010398033,1.648978,4.0632353
HAT1,HAT1,1851,138,0.0740057,0.26329014,-0.078748986
ITGA6,ITGA6,151,51,0.009074221,0.33933893,0.14856984
AC093818.1,AC093818.1,127,18,0.0056715356,0.21590036,-0.22040261
PDK1,PDK1,158,65,0.009529258,0.9512603,1.9776752
CDCA7,CDCA7,93,17,0.004032907,0.27148956,-0.05423994
OLA1,OLA1,1442,370,0.07013188,0.44737667,0.4715074
CIR1,CIR1,4948,302,0.20898932,0.3217272,0.09592626
GPR155,GPR155,1331,118,0.05740357,0.308541,0.05651119
WIPF1,WIPF1,5303,556,0.22522183,0.3022766,0.037786193
CHRNA1,CHRNA1,10,3,0.0006531488,0.27213234,-0.052318603
CHN1,CHN1,110,7,0.004724887,0.40577406,0.3471523
ATF2,ATF2,690,78,0.032376736,0.74564046,1.3630531
KIAA1715,KIAA1715,174,62,0.009093997,0.38897583,0.2969404
NFE2L2,NFE2L2,6448,185,0.2737554,1.4792103,2.575271
TTC30B,TTC30B,87,3,0.0034805513,0.30676594,0.051205337
TTC30A,TTC30A,22,6,0.0012986689,0.4466104,0.4692169
RBM45,RBM45,368,35,0.01559871,0.24439171,-0.13523862
PRKRA,PRKRA,1564,223,0.07416971,0.2785702,-0.033075057
FKBP7,FKBP7,57,8,0.0024977545,0.2417776,-0.1430525
PLEKHA3,PLEKHA3,918,132,0.042461745,0.62825096,1.012162
TTN-AS1,TTN-AS1,188,30,0.01026173,2.0601528,5.2922854
TTN,TTN,23,19,0.0020677801,0.37723768,0.26185367
CWC22,CWC22,975,84,0.041473433,0.49303523,0.6079862
UBE2E3,UBE2E3,2436,329,0.10314809,0.22011706,-0.2077984
ITGA4,ITGA4,1765,290,0.07846372,0.32060033,0.09255795
DNAJC10,DNAJC10,672,93,0.03121984,1.0852802,2.3782763
NCKAP1,NCKAP1,16,3,0.00069839874,0.38791832,0.29377937
NUP35,NUP35,461,31,0.0204306,0.43630135,0.43840197
AC097500.2,AC097500.2,42,23,0.0027801213,0.21582244,-0.22063553
ZC3H15,ZC3H15,4291,499,0.19756167,0.92953116,1.9127241
ITGAV,ITGAV,254,14,0.009645254,0.3081808,0.055434536
WDR75,WDR75,310,41,0.014513718,0.2560548,-0.10037629
SLC40A1,SLC40A1,275,101,0.015351955,0.38727584,0.29185894
ASNSD1,ASNSD1,1559,197,0.07062205,0.32389963,0.10241994
ANKAR,ANKAR,141,22,0.006792503,0.86785674,1.728372
OSGEPL1,OSGEPL1,151,28,0.006459072,0.26079988,-0.086192645
ORMDL1,ORMDL1,4247,508,0.18380047,0.35174927,0.18566582
C2orf88,C2orf88,84,10,0.004492589,1.0767816,2.352873
HIBCH,HIBCH,816,106,0.035906866,0.23838675,-0.15318815
RP11-647K16.1,RP11-647K16.1,9,4,0.0005758054,0.39564812,0.31688467
TMEM194B,TMEM194B,142,22,0.0068487055,0.30786794,0.054499347
AC093388.3,AC093388.3,35,9,0.0017699063,0.3268536,0.11124972
GLS,GLS,648,91,0.028692435,0.2421165,-0.1420395
STAT4,STAT4,1380,191,0.061109327,0.32102084,0.09381491
NABP1,NABP1,1195,115,0.049322437,0.32214388,0.09717181
SDPR,SDPR,555,43,0.045897443,1.9696443,5.021745
SLC39A10,SLC39A10,367,64,0.017064529,0.43150592,0.42406785
STK17B,STK17B,1933,529,0.094420105,0.25130728,-0.11456716
RP11-347P5.1,RP11-347P5.1,1192,352,0.05847864,0.27322662,-0.049047668
GTF3C3,GTF3C3,332,34,0.015041377,0.27141425,-0.05446505
PGAP1,PGAP1,795,27,0.032075148,0.33138937,0.124807656
ANKRD44,ANKRD44,771,337,0.04447419,0.49638778,0.6180074
AC013264.2,AC013264.2,383,121,0.021746516,0.28437054,-0.015737165
SF3B1,SF3B1,3852,384,0.16863975,0.51549643,0.6751254
COQ10B,COQ10B,2301,210,0.09624094,0.2715113,-0.054174997
HSPD1,HSPD1,6678,471,0.35474333,1.0374488,1.3618188
HSPE1,HSPE1,5480,570,0.31512803,1.2449644,1.9318328
MOB4,MOB4,2838,233,0.115676135,0.40206593,0.33606827
MARS2,MARS2,75,8,0.0036440932,0.3705796,0.2419519
PLCL1,PLCL1,92,8,0.0038731494,0.29226434,0.007858338
C2orf69,C2orf69,429,79,0.02133749,0.7165947,1.2762319
TYW5,TYW5,386,39,0.017705334,0.45340073,0.48951402
C2orf47,C2orf47,1091,74,0.04556655,0.4095353,0.35839504
SPATS2L,SPATS2L,4050,78,0.17635357,0.30561048,0.047751512
BZW1,BZW1,3871,442,0.16670674,0.22458313,-0.19444878
CLK1,CLK1,2615,298,0.12301243,0.7449325,1.3609369
PPIL3,PPIL3,487,83,0.022044538,0.37894657,0.26696175
NIF3L1,NIF3L1,606,72,0.026225185,0.24777865,-0.12511463
ORC2,ORC2,198,48,0.011371357,1.6325107,4.014013
FAM126B,FAM126B,608,89,0.027145047,0.3052277,0.046607334
CASP8,CASP8,2427,260,0.10675798,0.34097347,0.15345566
ALS2CR12,ALS2CR12,9,4,0.0005481377,0.22259685,-0.20038602
TRAK2,TRAK2,368,54,0.017268334,0.26751152,-0.06613078
STRADB,STRADB,609,93,0.02420377,0.21457471,-0.22436514
TMEM237,TMEM237,223,15,0.009870638,0.25907278,-0.09135516
NOP58,NOP58,2843,270,0.15265699,1.0618658,2.308288
BMPR2,BMPR2,417,37,0.01756406,0.51635754,0.6776994
CARF,CARF,162,36,0.0075621963,0.2536471,-0.1075732
CYP20A1,CYP20A1,1233,131,0.05219319,0.39305544,0.30913484
CD28,CD28,782,167,0.04258073,0.3468797,0.17111006
CTLA4,CTLA4,449,12,0.018705247,0.49869734,0.62491095
ICOS,ICOS,861,91,0.046501353,0.79437464,1.5087253
INO80D,INO80D,348,43,0.015329059,0.24997875,-0.11853829
NDUFS1,NDUFS1,660,84,0.028308736,0.73085296,1.3188515
ZDBF2,ZDBF2,37,11,0.0018852635,0.22528274,-0.19235757
FASTKD2,FASTKD2,508,68,0.024013003,0.279523,-0.030227084
KLF7,KLF7,343,75,0.016125359,0.418681,0.38573265
CREB1,CREB1,1407,147,0.058956973,0.31303468,0.06994334
METTL21A,METTL21A,1370,194,0.06252152,0.62958366,1.0161456
AC079767.4,AC079767.4,130,46,0.009101898,0.3762738,0.25897256
IDH1,IDH1,359,57,0.014654096,0.35331696,0.19035183
RP11-105N14.1,RP11-105N14.1,28,4,0.0011110163,0.25190467,-0.1127815
SPAG16,SPAG16,337,57,0.014424892,0.22901171,-0.18121123
ATIC,ATIC,966,247,0.051423084,0.37211475,0.24654064
PECR,PECR,160,58,0.007878654,0.23565282,-0.16136019
SMARCAL1,SMARCAL1,271,51,0.012545021,0.23634708,-0.15928496
AAMP,AAMP,2407,314,0.10428166,0.33024967,0.12140096
PNKD,PNKD,1302,380,0.06325026,0.3190936,0.0880542
CTDSP1,CTDSP1,972,316,0.04929299,0.21940905,-0.20991474
VIL1,VIL1,13,4,0.00079617306,0.35996976,0.21023785
RQCD1,RQCD1,400,74,0.019035824,0.25880456,-0.0921569
BCS1L,BCS1L,311,51,0.014377309,0.2162656,-0.21931086
RNF25,RNF25,429,56,0.020609312,0.67346424,1.1473099
CYP27A1,CYP27A1,793,35,0.03961037,0.3565825,0.20011288
WNT10A,WNT10A,166,33,0.0093695475,0.36937243,0.2383435
FAM134A,FAM134A,822,208,0.038415987,0.30806026,0.055074196
ZFAND2B,ZFAND2B,1554,281,0.07183401,0.30294588,0.039786723
ATG9A,ATG9A,220,45,0.009685549,0.21331212,-0.22813918
ANKZF1,ANKZF1,624,135,0.029455412,0.2608428,-0.08606436
STK16,STK16,683,196,0.034064665,0.2663812,-0.06950942
TUBA4A,TUBA4A,1786,676,0.11260814,0.81213707,1.5618193
DNAJB2,DNAJB2,1048,171,0.048271086,0.38066563,0.27210024
DNPEP,DNPEP,2960,250,0.12524903,0.3115051,0.06537126
GMPPA,GMPPA,590,97,0.030074975,2.6863322,7.16401
CHPF,CHPF,161,11,0.0074787387,0.34761262,0.17330088
STK11IP,STK11IP,163,41,0.0072924825,0.2560498,-0.10039117
EPHA4,EPHA4,64,9,0.0026451652,0.2804654,-0.02741011
FARSB,FARSB,460,106,0.02409309,0.3055145,0.04746467
ACSL3,ACSL3,1032,77,0.041091844,0.2666569,-0.068685316
MRPL44,MRPL44,2101,212,0.09071018,0.27142388,-0.054436278
SERPINE2,SERPINE2,234,18,0.009198198,0.3353494,0.13664469
IRS1,IRS1,32,8,0.0016479644,0.24549296,-0.13194683
MFF,MFF,1639,350,0.07961559,1.0454413,2.2591932
CCL20,CCL20,165,9,0.010382062,1.2323002,2.8177364
PID1,PID1,1689,79,0.0795095,0.3161662,0.07930379
TRIP12,TRIP12,791,64,0.033783834,0.98514634,2.0789645
SP140,SP140,2862,190,0.12417341,0.41132817,0.36375418
SP140L,SP140L,1714,208,0.07390722,0.25311303,-0.10916956
SP100,SP100,9851,727,0.44331396,0.4917482,-0.13713832
ITM2C,ITM2C,1220,167,0.0727736,0.96142066,2.0080457
GPR55,GPR55,27,5,0.0017062675,0.4776497,0.56199706
NCL,NCL,4157,645,0.20665531,0.48049545,0.57050335
PTMA,PTMA,26288,2671,1.9490349,1.3673812,-0.09777174
PDE6D,PDE6D,945,140,0.04123932,0.24327391,-0.13857985
COPS7B,COPS7B,728,108,0.032973897,0.28051013,-0.027276399
TIGD1,TIGD1,161,26,0.0077303615,0.33124128,0.12436501
EIF4E2,EIF4E2,4802,421,0.20996381,0.25269783,-0.11041065
ATG16L1,ATG16L1,239,43,0.010971637,0.48550838,0.5854876
DGKD,DGKD,273,77,0.0132266395,0.2362458,-0.15958771
ARL4C,ARL4C,3032,541,0.1444917,0.35595098,0.19822523
COPS8,COPS8,2405,236,0.10463315,0.4036471,0.34079453
RAMP1,RAMP1,470,43,0.030274164,1.0175257,2.17575
UBE2F,UBE2F,3802,357,0.16561055,0.3379298,0.14435774
SCLY,SCLY,108,19,0.0052962545,0.24958372,-0.11971908
ILKAP,ILKAP,1526,199,0.065776125,0.25801224,-0.094525255
HES6,HES6,115,24,0.0068897237,0.84578913,1.6624093
TRAF3IP1,TRAF3IP1,48,8,0.0019360629,0.22733113,-0.1862347
ASB1,ASB1,395,97,0.020362593,0.35573968,0.19759363
AC062017.1,AC062017.1,145,20,0.0063344417,0.25827792,-0.09373108
NDUFA10,NDUFA10,2339,396,0.1046305,0.5010973,0.6320848
DUSP28,DUSP28,355,86,0.017505031,0.49234438,0.6059212
CAPN10-AS1,CAPN10-AS1,217,19,0.009089753,0.3120594,0.06702811
GPR35,GPR35,1267,33,0.050566737,0.2580606,-0.09438068
MTERFD2,MTERFD2,1523,250,0.07117855,0.76597774,1.4238436
PASK,PASK,2441,173,0.13748452,1.0332682,2.2228065
PPP1R7,PPP1R7,3315,505,0.14635274,0.26967904,-0.0596518
HDLBP,HDLBP,1135,147,0.0480878,0.52028036,0.6894252
THAP4,THAP4,555,89,0.026230916,0.70956236,1.2552114
ATG4B,ATG4B,1104,169,0.047860324,0.26078978,-0.08622284
DTYMK,DTYMK,1034,177,0.0492989,0.3531539,0.18986446
ING5,ING5,393,70,0.01871402,0.7252536,1.3021144
PDCD1,PDCD1,99,25,0.0058531426,0.41534784,0.37576947
AC093642.3,AC093642.3,7,3,0.00045438268,0.24207242,-0.14217125
TRNT1,TRNT1,1305,78,0.052407682,0.31096,0.06374185
CRBN,CRBN,3075,528,0.14649212,0.5201321,0.68898207
RP11-97C16.1,RP11-97C16.1,31,5,0.0013953269,0.42319497,0.39922547
ITPR1,ITPR1,235,53,0.012279684,0.22417443,-0.19567047
BHLHE40-AS1,BHLHE40-AS1,8,3,0.00069056475,0.47401005,0.5511177
BHLHE40,BHLHE40,1266,151,0.058687817,0.38973886,0.2992212
EDEM1,EDEM1,690,76,0.028215254,0.27103004,-0.055613503
RAD18,RAD18,246,22,0.011457084,0.4843607,0.582057
SRGAP3,SRGAP3,17,12,0.0011817801,0.5607953,0.8105291
SETD5-AS1,SETD5-AS1,3102,233,0.12876065,0.42090973,0.3923946
THUMPD3,THUMPD3,660,105,0.032897968,1.1512536,2.5754786
SETD5,SETD5,707,148,0.033117935,0.28285223,-0.02027557
RP11-58B17.2,RP11-58B17.2,23,5,0.0011109947,0.33043087,0.12194258
ARPC4,ARPC4,3198,847,0.15971506,0.61716366,0.9790208
RPUSD3,RPUSD3,1059,164,0.048995245,0.56579864,0.82548463
JAGN1,JAGN1,2946,351,0.1305751,0.4835788,0.57971984
CRELD1,CRELD1,509,72,0.02146483,0.24701604,-0.12739417
PRRT3,PRRT3,146,34,0.0067573334,0.23242858,-0.17099783
EMC3,EMC3,3894,336,0.16037765,0.22672951,-0.18803301
ATG7,ATG7,761,46,0.02840916,0.24644777,-0.1290928
VGLL4,VGLL4,535,82,0.02248693,0.25115928,-0.11500955
TAMM41,TAMM41,367,93,0.018219091,0.3136873,0.07189407
TSEN2,TSEN2,244,32,0.011093904,0.24383567,-0.13690068
MKRN2,MKRN2,714,119,0.034774933,0.47317985,0.54863614
TMEM40,TMEM40,102,14,0.0077438042,1.2768672,2.9509525
RPL32,RPL32,28164,2688,2.4495804,1.6162964,0.099057905
NUP210,NUP210,292,196,0.018208396,0.23880923,-0.15192531
WNT7A,WNT7A,45,30,0.0031668618,0.43118042,0.4230949
CHCHD4,CHCHD4,576,64,0.025810074,0.34560743,0.16730712
TMEM43,TMEM43,1698,138,0.06996387,0.35541657,0.1966278
AC093495.4,AC093495.4,18,11,0.0012363578,0.22267652,-0.2001479
XPC,XPC,1264,162,0.05454165,0.31952655,0.08934831
LSM3,LSM3,4876,373,0.19614552,0.25048202,-0.11703395
CCDC174,CCDC174,1835,156,0.076179154,0.46530128,0.52508616
FGD5-AS1,FGD5-AS1,1286,128,0.05203915,0.25604722,-0.10039892
MRPS25,MRPS25,1101,184,0.051154982,0.2404699,-0.14696136
ZFYVE20,ZFYVE20,232,28,0.010081767,0.23592421,-0.16054896
SH3BP5,SH3BP5,1206,312,0.059697296,0.34862098,0.17631498
EAF1-AS1,EAF1-AS1,25,11,0.0013407927,0.26409867,-0.076332174
HACL1,HACL1,744,111,0.032378178,0.22550368,-0.19169715
OXNAD1,OXNAD1,988,317,0.05615285,0.4146666,0.37373313
RFTN1,RFTN1,1345,97,0.056402832,0.31995818,0.09063849
SATB1,SATB1,2258,229,0.10289265,0.45421374,0.49194422
SGOL1,SGOL1,77,8,0.0031402593,0.68690705,1.187492
UBE2E1,UBE2E1,2609,320,0.11039905,0.471448,0.5434595
NKIRAS1,NKIRAS1,241,21,0.01098826,0.9998255,2.122842
TOP2B,TOP2B,554,104,0.025767509,1.3345159,3.1232717
NGLY1,NGLY1,1821,190,0.07889529,0.24614035,-0.13001174
OXSM,OXSM,385,39,0.016903449,0.24708308,-0.12719378
SLC4A7,SLC4A7,361,64,0.016249465,0.3474639,0.17285635
RP11-222K16.2,RP11-222K16.2,154,51,0.0069648735,0.32872355,0.116839215
EOMES,EOMES,361,67,0.015216565,0.38825828,0.29479554
CMC1,CMC1,1421,256,0.06302461,0.23299032,-0.1693187
AZI2,AZI2,2645,142,0.10637946,0.25105125,-0.11533247
TGFBR2,TGFBR2,989,194,0.04427462,0.39092615,0.30277014
OSBPL10,OSBPL10,24,31,0.0027409126,0.48486763,0.5835723
CMTM8,CMTM8,1464,115,0.06710882,0.5235563,0.6992173
CMTM7,CMTM7,4109,542,0.18753397,0.691345,1.2007575
CCR4,CCR4,149,16,0.006629116,0.23253903,-0.17066768
GLB1,GLB1,973,126,0.04251414,0.5174637,0.6810058
CRTAP,CRTAP,424,206,0.02536495,1.44195,3.4444046
RP11-10C24.1,RP11-10C24.1,26,3,0.0015386463,1.1943157,2.7041962
TRANK1,TRANK1,838,83,0.034693353,0.23552877,-0.161731
EPM2AIP1,EPM2AIP1,705,179,0.03374287,0.27320963,-0.049098443
MLH1,MLH1,562,80,0.024234103,0.25036722,-0.117377095
CTDSPL,CTDSPL,20,26,0.0017728367,0.21919768,-0.21054655
VILL,VILL,140,46,0.0075604906,0.32881486,0.11711217
ACAA1,ACAA1,1835,375,0.084659204,0.3279871,0.1146379
EXOG,EXOG,1119,116,0.047324862,0.28953826,-0.0002902313
WDR48,WDR48,1055,63,0.043363497,0.31135643,0.064926825
CSRNP1,CSRNP1,1254,279,0.060310453,0.5420194,0.7544058
CX3CR1,CX3CR1,64,207,0.013309627,0.32476875,0.105017856
SLC25A38,SLC25A38,911,207,0.047552627,0.51265,0.66661716
RPSA,RPSA,19877,2573,1.3229638,1.2217535,-0.03768384
EIF1B,EIF1B,4851,513,0.21259171,0.4745862,0.5528399
ENTPD3-AS1,ENTPD3-AS1,355,51,0.016667712,1.6610019,4.0991764
ZNF620,ZNF620,153,6,0.0067998017,0.27389553,-0.047048207
CTNNB1,CTNNB1,1021,188,0.047416184,1.132258,2.5186987
VIPR1,VIPR1,31,45,0.0037006217,1.8879128,4.7774396
SEC22C,SEC22C,984,131,0.042930588,0.2366497,-0.15838037
SS18L2,SS18L2,4729,311,0.19702011,0.321738,0.0959586
NKTR,NKTR,2558,358,0.10944618,0.502781,0.6371174
SNRK,SNRK,764,137,0.035468213,0.39834735,0.32495296
ABHD5,ABHD5,404,66,0.019314533,1.5092603,3.6456032
TCAIM,TCAIM,290,53,0.01302097,0.23391299,-0.16656075
LINC00694,LINC00694,10,8,0.00082960253,0.32185084,0.09629586
ZNF852,ZNF852,107,9,0.0051909285,0.5208202,0.6910388
ZKSCAN7,ZKSCAN7,13,4,0.00075210654,0.32286686,0.09933287
ZNF502,ZNF502,60,7,0.003580761,0.66038257,1.1082072
KIAA1143,KIAA1143,1233,184,0.05427846,0.22963488,-0.17934851
TMEM42,TMEM42,586,123,0.02907823,0.22729589,-0.18634003
EXOSC7,EXOSC7,1407,190,0.064867176,0.2996015,0.029789954
LARS2,LARS2,35,15,0.0020864592,0.2429643,-0.13950531
SACM1L,SACM1L,766,110,0.03415636,0.28875172,-0.002641301
LZTFL1,LZTFL1,387,46,0.01724706,0.60219014,0.93426317
CCR9,CCR9,28,3,0.0014088987,0.40128317,0.3337285
CXCR6,CXCR6,322,30,0.015335826,0.60076547,0.93000466
CCR1,CCR1,3102,51,0.14544587,0.3267677,0.11099299
CCRL2,CCRL2,2460,11,0.109985486,0.26153237,-0.084003165
CCDC12,CCDC12,4156,669,0.18715186,0.5700518,0.8381978
NBEAL2,NBEAL2,120,113,0.00912033,0.23022369,-0.17758851
SETD2,SETD2,1937,99,0.08484685,0.48396814,0.5808836
KIF9,KIF9,169,12,0.0082883965,0.31092864,0.063648134
KLHL18,KLHL18,384,64,0.017814372,0.2379268,-0.15456301
ELP6,ELP6,742,142,0.036183916,1.3604403,3.200762
SMARCC1,SMARCC1,1176,132,0.051294863,0.2207961,-0.2057687
NME6,NME6,621,87,0.028643204,1.0328035,2.2214174
CCDC51,CCDC51,296,37,0.014262083,0.41608238,0.3779651
TREX1,TREX1,4273,328,0.17956315,0.4566799,0.4993159
SHISA5,SHISA5,2698,616,0.12806104,0.27872837,-0.032602295
UQCRC1,UQCRC1,4435,499,0.19139335,0.43208587,0.4258014
IP6K2,IP6K2,1928,239,0.0816145,0.2506006,-0.11667949
ARIH2OS,ARIH2OS,268,77,0.013565968,0.7657828,1.4232608
P4HTM,P4HTM,475,104,0.021968193,0.2693062,-0.060766224
DALRD3,DALRD3,567,156,0.02823582,0.22072,-0.20599617
IMPDH2,IMPDH2,3178,437,0.15013292,0.44695604,0.4702501
QRICH1,QRICH1,396,104,0.018696036,0.44327092,0.45923483
USP19,USP19,253,47,0.011349194,0.3057638,0.048209842
GPX1,GPX1,8165,1136,0.63157475,1.2349676,0.6331207
TCTA,TCTA,322,84,0.015627796,0.44128108,0.45328698
AMT,AMT,23,12,0.0012495937,0.21559167,-0.22132534
APEH,APEH,743,173,0.036238596,0.31413084,0.07321989
GMPPB,GMPPB,18,10,0.0010654998,0.21793592,-0.2143181
IP6K1,IP6K1,935,98,0.038974825,0.44295225,0.4582823
FAM212A,FAM212A,128,24,0.0059382026,0.2494236,-0.12019772
MON1A,MON1A,161,28,0.00770308,0.2564849,-0.09909065
RBM6,RBM6,1479,179,0.060412914,0.28516716,-0.013355985
RBM5,RBM5,1406,176,0.06418174,1.9461734,4.9515877
GNAI2,GNAI2,1968,618,0.10285662,0.5033548,0.6388326
IFRD2,IFRD2,1318,127,0.06291127,0.45460144,0.4931031
